Sentiment,Magnitude,DJIA,NASDAQComp,S&P500,SPXL,SPXS,DateTime,FaultyLinks,CommentsAnalyzed
-0.20000000298023224,144.89999389648438,31148.24,13856.3,3886.83,79.69,34.55,2021-02-08 08:00:12.552109,0,239
-0.30000001192092896,154.5,31148.24,13856.3,3886.83,79.69,34.55,2021-02-08 08:30:10.215193,0,220
-0.30000001192092896,155.39999389648438,31148.24,13856.3,3886.83,79.69,34.55,2021-02-08 09:00:11.487825,0,249
-0.30000001192092896,139.6999969482422,31148.24,13856.3,3886.83,80.73,34.08,2021-02-08 09:30:10.321966,0,240
-0.20000000298023224,165.60000610351562,31329.26,13950.06,3905.51,80.9,34.0,2021-02-08 10:00:09.224957,0,273
-0.30000001192092896,166.39999389648438,31330.05,13929.12,3905.78,80.85,34.0,2021-02-08 10:30:12.791555,0,260
-0.30000001192092896,159.3000030517578,31283.07,13948.99,3904.96,80.9,34.06,2021-02-08 11:00:12.428368,0,253
-0.30000001192092896,180.39999389648438,31286.67,13926.58,3900.92,80.55,34.17,2021-02-08 11:30:10.971198,0,273
-0.20000000298023224,160.1999969482422,31270.85,13915.98,3899.37,80.45,34.22,2021-02-08 12:00:11.593429,0,258
-0.20000000298023224,135.5,31296.13,13938.41,3902.94,80.71,34.12,2021-02-08 12:30:09.964838,0,220
-0.10000000149011612,154.0,31284.15,13925.09,3900.05,80.51,34.19,2021-02-08 13:00:28.436953,0,220
-0.10000000149011612,157.60000610351562,31268.45,13927.8,3901.16,80.58,34.19,2021-02-08 13:30:10.972338,0,240
-0.10000000149011612,165.8000030517578,31272.49,13919.49,3898.54,80.41,34.26,2021-02-08 14:00:10.886323,0,240
-0.20000000298023224,152.10000610351562,31285.33,13920.27,3900.52,80.5,34.21,2021-02-08 14:30:11.568487,0,256
-0.30000001192092896,179.10000610351562,31309.35,13927.61,3903.48,80.72,34.12,2021-02-08 15:00:11.225929,0,251
-0.30000001192092896,186.60000610351562,31320.74,13938.15,3904.67,80.85,34.06,2021-02-08 15:30:11.348662,0,278
-0.20000000298023224,148.1999969482422,31347.14,13972.88,3910.69,80.94,33.8,2021-02-08 16:00:10.845178,0,259
-0.30000001192092896,171.60000610351562,31385.76,13987.64,3915.59,81.45,33.8,2021-02-08 16:30:11.663222,0,260
-0.30000001192092896,172.39999389648438,31385.76,13987.64,3915.59,81.45,33.8,2021-02-08 17:00:11.719669,0,260
-0.30000001192092896,158.5,31385.76,13987.64,3915.59,81.45,33.8,2021-02-08 17:30:11.631964,0,230
-0.30000001192092896,135.1999969482422,31385.76,13987.64,3915.59,81.45,33.8,2021-02-08 18:00:12.210846,0,248
-0.30000001192092896,162.8000030517578,31385.76,13987.64,3915.59,81.45,33.8,2021-02-08 18:30:12.777605,0,241
-0.20000000298023224,125.69999694824219,31385.76,13987.64,3915.59,81.45,33.8,2021-02-08 19:00:10.335747,0,216
-0.20000000298023224,161.89999389648438,31385.76,13987.64,3915.59,81.45,33.8,2021-02-08 19:30:09.994945,0,236
-0.20000000298023224,149.10000610351562,31385.76,13987.64,3915.59,81.45,33.8,2021-02-08 20:00:11.058743,0,260
