DateTime,Tone,DJIAChange,NASDAQChange,S&P500Change
2021-02-12 13:30:10,-0.133537419,13.94,18.96,-2.52
2021-02-12 14:0:14,-0.1311333333,-2.22,-3.49,-0.46
2021-02-12 14:30:9,-0.1925357187,7.47,1.22,0.42
2021-02-12 15:0:10,-0.1227799246,-4.2,-10.6,2.7
2021-02-12 15:30:9,-0.116431233,-14.58,1.01,1.73
2021-02-12 16:0:9,-0.1258436183,-59.67,-55.71,13.44
2021-02-16 9:30:8,-0.1776923148,-9.01,1.47,-0.77
2021-02-16 10:0:8,-0.1279999972,-91.83,-53.25,11.86
2021-02-16 10:30:9,-0.1662692444,-22.71,0.69,-1.62
2021-02-16 11:0:7,-0.1926923153,50.22,24.95,-9.22
2021-02-16 11:30:9,-0.1863461613,23.99,34.33,2.29
2021-02-16 12:0:8,-0.1624615484,24.25,38.55,-8.56
2021-02-16 12:30:8,-0.1249230741,-62.55,-3.88,7.16
2021-02-16 13:0:24,-0.1233076965,4.34,3.47,-0.15
2021-02-16 13:30:7,-0.1225384657,-10.03,-21.13,-0.11
2021-02-16 14:0:7,-0.1231538527,15.83,26.92,-2.24
2021-02-16 14:30:8,-0.1087692277,-31.36,-22.87,5.24
2021-02-16 15:0:8,-0.1239999995,19.82,12.96,-2.52
2021-02-16 15:30:8,-0.128769228,6.44,-0.76,-0.48
2021-02-16 16:0:9,-0.1864285788,0.81,6.31,-4.24
2021-02-17 9:30:9,-0.203346308,8.43,1.68,0.35
2021-02-17 10:0:9,-0.2051953278,10.09,87.03,-14.06
2021-02-17 10:30:8,-0.2034262993,37.25,70.26,-7.41
2021-02-17 11:0:9,-0.1913000107,-68.94,-28.79,8.71
2021-02-17 11:30:10,-0.1966406364,85.22,95.57,-12.32
2021-02-17 12:0:10,-0.1311510833,-38.84,-28.92,4.15
2021-02-17 12:30:11,-0.1332394365,-11.25,-3.24,2.92
2021-02-17 13:0:24,-0.2122580664,-12.92,-52.03,4.95
2021-02-17 13:30:8,-0.1981545065,-23.48,-8.93,0.15
2021-02-17 14:0:8,-0.1296498121,8.47,-11.79,1.58
2021-02-17 14:30:8,-0.1069135768,-14.27,-7.31,2.08
2021-02-17 15:0:8,-0.1266666709,-54.67,5.09,1.84
2021-02-17 15:30:10,-0.108953974,-18.1,-22.13,4.84
2021-02-17 16:0:8,-0.1079853451,-7.16,-14.87,0.9
2021-02-18 9:30:11,-0.1165094357,18.33,2.06,0.41
2021-02-18 10:0:8,-0.180905671,184.06,126.94,-29.39
